year,shift,start,end,number_of_deaths
1988,Night,12:00:00 AM,08:00:00 AM,13
1988,Day,08:00:00 AM,04:00:00 PM,18
1988,Evening,04:00:00 PM,12:00:00 AM,14
1989,Night,12:00:00 AM,08:00:00 AM,21
1989,Day,08:00:00 AM,04:00:00 PM,16
1989,Evening,04:00:00 PM,12:00:00 AM,15
1990,Night,12:00:00 AM,08:00:00 AM,32
1990,Day,08:00:00 AM,04:00:00 PM,28
1990,Evening,04:00:00 PM,12:00:00 AM,13
1991,Night,12:00:00 AM,08:00:00 AM,14
1991,Day,08:00:00 AM,04:00:00 PM,11
1991,Evening,04:00:00 PM,12:00:00 AM,38
1992,Night,12:00:00 AM,08:00:00 AM,21
1992,Day,08:00:00 AM,04:00:00 PM,14
1992,Evening,04:00:00 PM,12:00:00 AM,33
1993,Night,12:00:00 AM,08:00:00 AM,20
1993,Day,08:00:00 AM,04:00:00 PM,11
1993,Evening,04:00:00 PM,12:00:00 AM,33
1994,Night,12:00:00 AM,08:00:00 AM,22
1994,Day,08:00:00 AM,04:00:00 PM,18
1994,Evening,04:00:00 PM,12:00:00 AM,30
1995,Night,12:00:00 AM,08:00:00 AM,12
1995,Day,08:00:00 AM,04:00:00 PM,7
1995,Evening,04:00:00 PM,12:00:00 AM,47
1996,Night,12:00:00 AM,08:00:00 AM,8
1996,Day,08:00:00 AM,04:00:00 PM,12
1996,Evening,04:00:00 PM,12:00:00 AM,14
1997,Night,12:00:00 AM,08:00:00 AM,9
1997,Day,08:00:00 AM,04:00:00 PM,6
1997,Evening,04:00:00 PM,12:00:00 AM,11
